AERONET_Database_Site_List,Num=0,Date_Generated=25:08:2017,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
USM_Penang,100.302310,5.358380,51.000000,1,1,1,1,1,1,1,1,0,0,0,0
Henties_Bay,14.259740,-22.095060,20.000000,1,1,1,1,1,1,1,1,1,1,1,0
Sandia_NM_PSEL,-106.540069,35.054583,1662.500000,1,0,1,1,1,1,1,1,1,1,1,0
Fresno_2,-119.773020,36.785370,100.000000,1,1,1,1,1,1,1,1,0,0,0,0
Bure_OPE,5.505000,48.562500,393.000000,1,1,1,1,1,1,1,1,1,0,0,0
Univ_of_Nevada-Reno,-119.814033,39.540867,1410.000000,1,1,1,0,0,1,1,1,1,1,1,1
Coruna,-8.420800,43.363000,67.000000,1,0,1,1,1,1,0,0,0,0,0,0
Hong_Kong_Sheung,114.116600,22.483300,40.000000,1,1,1,1,1,0,0,0,0,0,0,0
UPRM_Lidar_Lab,-67.140125,18.210131,10.000000,1,1,1,1,1,1,0,0,0,0,0,0
Luang_Namtha,101.416200,20.931100,557.000000,1,1,1,1,1,1,1,1,1,1,1,1
KAUST_Campus,39.102833,22.304833,11.200000,1,1,1,1,1,1,1,1,1,1,1,1
Son_La,103.905340,21.332130,683.000000,0,1,1,1,1,1,0,0,0,0,0,0
GOT_Seaprism,101.412300,9.286200,10.000000,1,0,0,0,0,0,0,0,0,0,0,0
Madrid,-3.723950,40.451900,680.000000,1,1,1,1,1,1,1,1,1,0,0,0
Bayfordbury,-0.096240,51.776320,75.000000,1,1,1,1,1,1,1,1,1,1,1,1
Tizi_Ouzou,4.055833,36.698611,133.000000,1,1,1,1,1,1,1,1,1,1,1,1
Iasi_LOASL,27.555556,47.193056,175.000000,1,1,1,1,1,1,1,1,1,1,1,1
U_of_Wisconsin_SSEC,-89.411354,43.072492,330.000000,1,1,1,1,1,1,1,1,1,1,0,0
Pontianak,109.190860,0.075380,2.000000,1,1,0,0,0,0,0,0,0,0,0,0
Zaragoza,-0.882350,41.633400,250.000000,1,1,1,1,1,1,1,1,1,1,1,1
Lake_Lefroy,121.705000,-31.255000,300.000000,1,1,1,1,1,1,0,0,0,0,0,0
FZJ-JOYCE,6.412500,50.908333,108.000000,0,1,1,1,1,1,1,1,1,1,1,1
Badajoz,-7.010820,38.882808,186.000000,1,1,1,1,1,1,0,0,0,0,0,0
Gangneung_WNU,128.867000,37.771000,60.000000,1,1,1,1,1,1,1,1,1,1,1,1
Hankuk_UFS,127.265820,37.338830,167.000000,1,1,1,1,1,1,1,1,1,1,1,1
Fukuoka,130.475000,33.524000,30.000000,1,1,1,1,0,0,0,0,0,0,0,0
Pusan_NU,129.083000,35.235000,71.000000,1,1,1,1,1,1,1,1,1,1,1,1
Cerro_Poyos,-3.486660,37.108330,1830.000000,0,0,0,0,0,1,1,1,1,1,0,0
Valladolid,-4.705830,41.663600,705.000000,1,1,1,1,1,1,1,1,1,1,0,0
Palangkaraya,113.946240,-2.227990,27.000000,1,1,0,0,0,0,0,0,0,0,0,0
Medellin,-75.577914,6.260672,1471.000000,1,1,1,1,1,1,1,1,0,0,0,0
Murcia,-1.170700,38.001000,69.000000,1,1,1,1,1,1,1,1,1,1,1,1
UH_Coastal_Center,-95.042500,29.388300,5.000000,1,0,0,0,0,0,0,0,0,1,1,1
Kathmandu-Bode,85.390000,27.680000,1360.000000,0,0,1,1,1,1,0,0,0,0,0,0
Beijing-CAMS,116.316670,39.933330,106.000000,1,1,1,1,1,1,1,1,1,1,1,1
MetObs_Lindenberg,14.120870,52.209275,120.000000,1,1,1,1,1,1,1,1,1,0,0,1
Ben_Salem,9.914003,35.550550,130.000000,1,1,1,1,1,1,0,1,1,1,1,1
HohenpeissenbergDWD,11.011900,47.801900,989.680000,0,0,0,0,1,1,1,1,1,1,1,1
Fowlers_Gap,141.700820,-31.086300,181.000000,1,1,1,1,1,1,1,1,1,1,1,1
Santa_Monica_Colg,-118.471130,34.016850,55.000000,0,1,1,1,1,1,1,1,1,1,1,1
SEARCH-Centreville,-87.249680,32.902890,126.000000,1,1,1,1,1,0,0,0,0,0,0,0
SEARCH-Yorkville,-85.045550,33.928330,394.000000,1,1,1,1,1,1,1,1,1,1,1,0
SEARCH-OLF,-87.375310,30.549970,44.000000,1,1,1,1,1,1,1,1,1,1,0,0
Galata_Platform,28.193190,43.044624,31.000000,1,1,1,1,1,1,1,1,1,1,0,0
IMPROVE-MammothCave,-86.147900,37.131800,235.000000,0,0,0,1,1,1,1,1,1,1,1,1
St_Louis_University,-90.231552,38.636342,159.000000,1,0,0,0,0,0,0,0,0,0,0,0
Mingo,-90.143200,36.971700,111.000000,1,1,1,1,0,0,0,0,0,0,0,0
EPA-Res_Triangle_Pk,-78.870000,35.880000,109.000000,1,1,1,1,1,1,1,1,1,0,0,0
SP_Bayboro,-82.633000,27.761550,5.000000,1,1,1,1,1,1,1,1,1,1,0,0
